TIME	EVENT	NODES
0	O	Root
0.0	S	Root;1;n1;2;n2;3
3.2265121368497676	S	n2;3;n3;4;n4;5
6.0891450189117755	S	n4;5;n5;6;n6;7
12.049627919615546	E	n1;2
15.155449265353939	I	n3;4
25.383304114918815	I	n6;7
30.337553612540763	S	n3;4;n7;8;n8;9
40.61766770490026	I	n5;6
41.7308661144652	E	n6;7
46.478728420132114	S	n8;9;n9;10;n10;11
60.845054175204226	D	n10;11;n10;12;n10;13
61.518139248462646	I	n9;10
65.79458869924449	S	n5;6;n11;14;n12;15
66.29989786710502	I	n11;14
76.83040379162496	S	n10;12;n13;16;n14;17
76.83040379162496	S	n10;13;n13;18;n14;19
78.67196232775571	E	n11;14
79.99080041542105	I	n9;10
80.59920766624008	E	n12;15
80.65664055191147	S	n14;17;n15;20;n16;21
80.65664055191147	S	n14;19;n15;22;n16;23
88.04820245898368	L	n9;10
88.04820245898368	T	n7;8;n7;24;n9;25
88.43443140242762	C	n16;21
90.03849608767848	E	n15;20
90.03849608767848	E	n15;22
90.62560956275522	L	n16;21
90.74528338734476	E	n16;23
100.0082568610545	S	n13;16;n17;26;n18;27
100.0082568610545	S	n13;18;n17;28;n18;29
102.88084729327288	S	n9;25;n19;30;n20;31
106.74452670828516	L	n17;26
111.66586617081315	S	n18;27;n21;32;n22;33
111.66586617081315	S	n18;29;n21;34;n22;35
112.79214796818704	I	n21;32
112.79214796818704	I	n21;34
113.40009557113132	I	n22;33
113.40009557113132	I	n22;35
113.98168903399068	L	n17;28
113.98168903399068	T	n7;24;n7;36;n17;37
119.8091129470091	L	n21;32
120.94423074811793	D	n21;34;n21;38;n21;39
122.86894685118159	I	n21;38
122.86894685118159	I	n21;39
127.09439606284033	S	n17;37;n23;40;n24;41
128.62327838143352	I	n20;31
129.70108101597992	I	n23;40
131.05163357451565	E	n21;39
131.05163357451565	E	n21;38
137.33366044182898	S	n22;35;n25;42;n26;43
137.33366044182898	S	n22;33;n25;44;n26;45
138.0964821093406	I	n24;41
140.18713992571296	L	n25;42
142.7155834077547	E	n25;44
145.83132219123408	I	n26;43
145.83132219123408	I	n26;45
148.9849759202454	S	n20;31;n27;46;n28;47
149.3238145096331	S	n26;45;n29;48;n30;49
149.3238145096331	S	n26;43;n29;50;n30;51
149.69508661309513	D	n23;40;n23;52;n23;53
150.5320868575151	I	n23;52
150.5320868575151	I	n23;53
150.84222171296392	E	n30;49
150.84222171296392	E	n30;51
151.41608628417967	S	n24;41;n31;54;n32;55
152.63308264867726	S	n7;36;n33;56;n34;57
153.15396712937255	S	n28;47;n35;58;n36;59
154.70959266539847	C	n29;48
154.70959266539847	C	n29;50
156.28164474555243	I	n36;59
162.40644600978996	I	n27;46
162.77617771303431	S	n34;57;n37;60;n38;61
164.0650225736182	E	n38;61
164.3417186532448	C	n29;48
164.3417186532448	C	n29;50
165.1799971652594	S	n31;54;n39;62;n40;63
165.2249719103747	E	n33;56
166.42281919880233	S	n40;63;n41;64;n42;65
166.54278869017284	E	n27;46
167.12761915133353	L	n32;55
167.46454470524264	C	n29;48
167.46454470524264	C	n29;50
168.98360319176706	S	n36;59;n43;66;n44;67
169.09281682708968	E	n41;64
169.38475086525722	C	n44;67
169.40844172015872	E	n39;62
170.74431018111153	S	n43;66;n45;68;n46;69
171.2809686135886	S	n19;30;n47;70;n48;71
171.45748821204532	S	n23;53;n49;72;n50;73
171.45748821204532	S	n23;52;n49;74;n50;75
172.7134354678535	S	n35;58;n51;76;n52;77
173.3420775141136	S	n42;65;n53;78;n54;79
173.88687652149895	E	n54;79
176.11005676811268	S	n49;72;n55;80;n56;81
176.11005676811268	S	n49;74;n55;82;n56;83
177.51846234063663	E	n45;68
180.68423174771254	E	n50;73
180.68423174771254	E	n50;75
181.65688322784237	I	n52;77
184.38473418243225	S	n51;76;n57;84;n58;85
185.1261683632634	I	n48;71
187.1981154176181	S	n37;60;n59;86;n60;87
187.68489901940544	E	n46;69
188.99377288291518	S	n56;81;n61;88;n62;89
188.99377288291518	S	n56;83;n61;90;n62;91
189.4429084824666	S	n44;67;n63;92;n64;93
190.7703124543247	I	n55;80
190.7703124543247	I	n55;82
191.35598736312272	S	n62;89;n65;94;n66;95
191.35598736312272	S	n62;91;n65;96;n66;97
191.7434126650566	I	n60;87
192.7298719393219	L	n29;48
194.29865404517736	I	n66;95
194.29865404517736	I	n66;97
195.81562732113593	E	n58;85
196.74632570764513	E	n66;97
196.74632570764513	E	n66;95
196.912236271599	I	n29;50
196.97511416203977	S	n47;70;n69;98;n70;99
197.574740969038	S	n60;87;n71;100;n72;101
198.675842295813	C	n64;93
199.3404950915714	E	n57;84
201.3329944762696	L	n53;78
202.5536794830247	I	n55;82
202.5536794830247	I	n55;80
202.76366837904365	I	n70;99
202.93223624963466	I	n65;94
202.93223624963466	I	n65;96
204.597716565754	L	n69;98
205.1949407088358	I	n29;50
211.14465681623986	I	n70;99
212.14935991177535	E	n65;96
212.14935991177535	E	n65;94
217.10122037003637	S	n63;92;n87;102;n88;103
217.91246826930944	L	n61;90
217.94987409387522	I	n64;93
221.4844260935815	S	n61;88;n89;104;n90;105
223.56245094757458	I	n87;102
224.32847399993054	I	n89;104
224.34369207996875	S	n29;50;n91;106;n92;107
224.42074098395472	S	n87;102;n93;108;n94;109
224.87883338170167	E	n71;100
227.54637249049256	E	n91;106
227.7086322008703	S	n52;77;n97;110;n98;111
227.96114739618102	L	n90;105
228.13448733315087	I	n88;103
230.16905916413376	I	n98;111
231.2895298785254	E	n89;104
231.5628257408407	I	n48;71
232.2598634713699	E	n94;109
232.8439288366906	E	n88;103
235.72284326819369	I	n70;99
236.00062178330214	I	n93;108
238.066136604651	E	n55;80
238.066136604651	E	n55;82
239.9202167184816	L	n98;111
239.9202167184816	T	n93;108;n93;112;n98;113
244.64633121022376	I	n97;110
248.88117897606477	E	n64;93
249.03530572249304	S	n97;110;n123;114;n124;115
251.12482561184243	L	n98;113
251.1517682979901	S	n92;107;n127;116;n128;117
251.5390235914055	E	n128;117
251.91737397158224	S	n59;86;n131;118;n132;119
252.87678478256842	E	n127;116
254.31869674795763	S	n72;101;n137;120;n138;121
254.59397657947247	S	n123;114;n139;122;n140;123
255.08922900163986	E	n139;122
256.74972332501403	S	n70;99;n145;124;n146;125
258.172692207609	I	n146;125
258.8150958922131	S	n124;115;n149;126;n150;127
261.9136653607604	I	n48;71
262.48313050699846	S	n137;120;n155;128;n156;129
263.1946935408616	S	n93;112;n157;130;n158;131
263.466644128342	C	n132;119
264.128081826833	I	n145;124
264.256074713361	S	n131;118;n159;132;n160;133
268.08312347105647	S	n138;121;n163;134;n164;135
270.50846597342445	E	n48;71
270.7812027920054	L	n155;128
271.0359830191678	S	n158;131;n165;136;n166;137
273.71896957771065	I	n140;123
274.6577834372075	I	n164;135
275.0960935428681	S	n146;125;n169;138;n170;139
275.3394929136777	E	n140;123
275.8505257194636	S	n145;124;n173;140;n174;141
275.9722922828658	I	n166;137
276.778106847264	S	n169;138;n177;142;n178;143
277.8106349986983	E	n163;134
278.3331394510357	I	n157;130
279.3689247604448	E	n164;135
280.9346084359787	E	n156;129
281.86281336619095	S	n157;130;n181;144;n182;145
282.37954397069575	C	n149;126
282.76068880907354	I	n174;141
282.9677776381367	C	n150;127
283.003644560383	E	n160;133
285.6919831175141	L	n173;140
288.2653077556269	I	n177;142
