POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	995	-	77
1	996	-	77
2	997	-	73
3	595	-	85
4	1136	+	57
5	594	-	77
6	651	+	83
7	648	-	73
8	1532	+	11
9	649	-	103
10	650	-	79
11	647	+	81
12	1869	+	9
13	646	-	77
14	976	-	79
15	975	-	83
16	974	+	77
17	973	+	79
18	972	-	81
19	971	+	77
20	970	-	79
21	969	+	79
22	968	-	119
23	967	-	79
24	1007	-	77
25	190	-	77
26	189	-	79
27	187	-	99
28	645	-	81
29	977	-	79
30	978	-	87
31	979	-	71
32	352	+	93
33	353	+	67
34	354	-	79
35	1521	-	11
36	355	+	105
37	356	-	101
38	357	-	69
39	358	+	77
40	981	-	83
41	983	-	81
42	984	+	91
43	985	+	71
44	33	-	67
45	34	-	85
46	35	-	75
47	36	-	109
48	36	-	111
49	892	+	77
50	894	-	75
51	895	-	79
52	1345	-	31
53	896	+	73
54	898	-	67
55	37	+	135
56	1302	-	33
57	53	-	83
58	52	-	81
59	51	-	103
60	51	-	105
61	1094	-	45
62	50	+	79
63	49	+	133
64	47	+	79
65	1214	-	35
66	46	-	83
67	45	-	81
68	1361	-	31
69	1850	-	5
70	43	+	83
71	42	-	78
72	41	+	73
73	40	-	69
74	39	+	83
75	1363	+	31
76	288	-	81
77	1765	-	9
78	38	+	101
79	38	+	103
80	37	-	137
81	1606	+	13
82	1817	+	9
83	37	-	139
84	1629	+	9
85	255	-	77
86	256	+	83
87	257	+	79
88	55	-	75
89	56	+	87
90	1122	-	43
91	57	-	75
92	58	-	83
93	59	+	79
94	1823	-	9
95	60	-	81
96	61	-	79
97	62	+	85
98	63	-	67
99	64	-	73
100	65	+	77
101	66	+	77
102	96	+	77
103	91	-	77
104	90	-	81
105	89	+	71
106	88	+	73
107	82	+	81
108	80	-	75
109	79	+	77
110	77	-	79
111	76	-	69
112	75	-	109
113	75	-	111
114	74	-	73
115	1001	+	79
116	72	-	82
117	103	-	81
118	102	-	77
119	1171	-	41
120	1208	+	57
121	101	-	75
122	100	+	77
123	98	+	55
124	97	+	77
125	7	+	151
126	67	+	91
127	67	+	93
128	68	+	85
129	69	-	77
130	70	+	81
131	71	-	76
132	71	-	77
133	104	+	93
134	1723	+	9
135	105	+	55
136	1462	-	29
137	912	+	153
138	113	+	79
139	123	-	77
140	124	-	79
141	125	-	85
142	128	+	55
143	913	-	83
144	914	+	69
145	513	-	79
146	514	-	113
147	110	-	85
148	109	+	77
149	107	+	77
150	106	+	81
151	1836	+	9
152	1048	-	41
153	108	-	93
154	130	-	65
155	131	+	53
156	1020	+	79
157	471	-	81
158	132	+	125
159	132	+	123
160	133	-	79
161	211	+	79
162	210	-	79
163	1017	+	77
164	209	-	79
165	208	+	81
166	207	-	79
167	206	+	87
168	205	-	81
169	204	-	79
170	1395	-	33
171	203	-	87
172	201	-	89
173	200	+	81
174	198	-	107
175	197	-	95
176	196	-	81
177	195	-	77
178	405	+	81
179	404	-	83
180	404	-	85
181	402	-	73
182	401	+	83
183	194	-	87
184	193	+	73
185	1064	+	43
186	192	-	79
187	49	+	135
188	191	-	69
189	187	-	101
190	489	-	83
