TIME	EVENT	NODES
0.0	S	Root;n1;n2
3.2265121368497676	S	n2;n3;n4
6.0891450189117755	S	n4;n5;n6
12.049627919615546	E	n1
30.337553612540763	S	n3;n7;n8
41.7308661144652	E	n6
46.478728420132114	S	n8;n9;n10
65.79458869924449	S	n5;n11;n12
76.83040379162496	S	n10;n13;n14
78.67196232775571	E	n11
80.59920766624008	E	n12
80.65664055191147	S	n14;n15;n16
90.03849608767848	E	n15
90.74528338734476	E	n16
100.0082568610545	S	n13;n17;n18
102.88084729327288	S	n9;n19;n20
111.66586617081315	S	n18;n21;n22
127.09439606284033	S	n17;n23;n24
131.05163357451565	E	n21
137.33366044182898	S	n22;n25;n26
142.7155834077547	E	n25
148.9849759202454	S	n20;n27;n28
149.3238145096331	S	n26;n29;n30
150.84222171296392	E	n30
151.41608628417967	S	n24;n31;n32
152.63308264867726	S	n7;n33;n34
153.15396712937255	S	n28;n35;n36
162.77617771303431	S	n34;n37;n38
164.0650225736182	E	n38
165.1799971652594	S	n31;n39;n40
165.2249719103747	E	n33
166.42281919880233	S	n40;n41;n42
166.54278869017284	E	n27
168.98360319176706	S	n36;n43;n44
169.09281682708968	E	n41
169.40844172015872	E	n39
170.74431018111153	S	n43;n45;n46
171.2809686135886	S	n19;n47;n48
171.45748821204532	S	n23;n49;n50
172.7134354678535	S	n35;n51;n52
173.3420775141136	S	n42;n53;n54
173.88687652149895	E	n54
176.11005676811268	S	n49;n55;n56
177.51846234063663	E	n45
180.68423174771254	E	n50
184.38473418243225	S	n51;n57;n58
187.1981154176181	S	n37;n59;n60
187.68489901940544	E	n46
188.99377288291518	S	n56;n61;n62
189.4429084824666	S	n44;n63;n64
191.35598736312272	S	n62;n65;n66
193.54890914381417	S	n32;n67;n68
195.81562732113593	E	n58
196.74632570764513	E	n66
196.97511416203977	S	n47;n69;n70
197.574740969038	S	n60;n71;n72
199.3404950915714	E	n57
205.25455400940166	S	n69;n73;n74
208.10400822300682	S	n67;n75;n76
208.19839410567633	S	n74;n77;n78
211.6666750898376	S	n76;n79;n80
212.0814811151844	S	n73;n81;n82
212.14935991177535	E	n65
213.32577331513028	S	n79;n83;n84
215.19426714998926	S	n82;n85;n86
216.27781290793985	E	n83
217.10122037003637	S	n63;n87;n88
221.4844260935815	S	n61;n89;n90
224.01115539674345	E	n81
224.34369207996875	S	n29;n91;n92
224.42074098395472	S	n87;n93;n94
224.87883338170167	E	n71
226.08451416191318	E	n77
226.3022639445042	E	n78
226.86452868796613	S	n53;n95;n96
227.54637249049256	E	n91
227.7086322008703	S	n52;n97;n98
227.74447505539555	S	n68;n99;n100
227.79180205667913	E	n99
229.79413206743286	S	n85;n101;n102
229.84074322147535	S	n75;n103;n104
230.22500167846212	E	n101
231.2895298785254	E	n89
232.2598634713699	E	n94
232.8439288366906	E	n88
233.55443944646427	S	n96;n105;n106
236.8169657606345	S	n84;n107;n108
238.066136604651	E	n55
239.01003706129444	S	n80;n109;n110
240.4400248471713	S	n104;n111;n112
240.6015620950032	S	n100;n113;n114
242.8941750001684	S	n103;n115;n116
244.65686309263035	S	n115;n117;n118
245.60380920404123	E	n118
245.85340359938476	E	n86
246.41896245296667	S	n116;n119;n120
247.89276809742267	S	n106;n121;n122
248.88117897606477	E	n64
249.03530572249304	S	n97;n123;n124
249.10861886800265	S	n108;n125;n126
251.1517682979901	S	n92;n127;n128
251.3186136772485	S	n120;n129;n130
251.5390235914055	E	n128
251.91737397158224	S	n59;n131;n132
251.9600984783782	E	n129
252.87678478256842	E	n127
253.10530453682208	S	n102;n133;n134
254.1474396940903	S	n111;n135;n136
254.31869674795763	S	n72;n137;n138
254.59397657947247	S	n123;n139;n140
254.6017951755659	S	n119;n141;n142
254.85733682858677	S	n134;n143;n144
255.08922900163986	E	n139
256.74972332501403	S	n70;n145;n146
256.96114287753085	S	n126;n147;n148
258.8150958922131	S	n124;n149;n150
259.19362679088636	S	n130;n151;n152
259.28999588796853	S	n141;n153;n154
260.0079447944091	E	n114
261.5455228136473	E	n152
261.6291738439399	E	n121
262.43014142332055	E	n148
262.48313050699846	S	n137;n155;n156
263.1946935408616	S	n93;n157;n158
264.256074713361	S	n131;n159;n160
266.1400532075929	E	n151
266.80294771333917	S	n107;n161;n162
267.6230845290778	E	n154
268.08312347105647	S	n138;n163;n164
269.9568136455443	E	n136
270.50846597342445	E	n48
271.0359830191678	S	n158;n165;n166
271.5541373875477	S	n95;n167;n168
273.5864034493894	E	n122
274.68520477779253	E	n143
275.0960935428681	S	n146;n169;n170
275.11850929823515	S	n125;n171;n172
275.3394929136777	E	n140
275.8505257194636	S	n145;n173;n174
276.06674945851347	E	n113
276.551795131478	S	n144;n175;n176
276.778106847264	S	n169;n177;n178
277.04604187489826	E	n161
277.8106349986983	E	n163
278.37777927242377	S	n168;n179;n180
278.4525291252385	E	n112
278.6214938342557	E	n167
278.8778393829385	E	n117
279.3689247604448	E	n164
280.88338111280893	E	n90
280.9346084359787	E	n156
281.86281336619095	S	n157;n181;n182
