POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	157
1	2	-	157
2	3	-	159
3	4	-	157
4	5	-	149
5	6	+	157
6	7	-	157
7	8	-	157
8	9	-	157
9	10	-	157
10	11	+	157
11	12	+	157
12	13	+	157
13	14	-	157
14	15	-	157
15	16	-	157
16	17	+	157
17	18	-	157
18	19	-	157
19	20	+	157
20	21	+	153
21	22	-	157
22	23	+	157
23	24	+	157
24	25	+	159
25	26	-	159
26	27	-	159
27	28	-	159
28	29	+	157
29	30	-	157
30	31	-	157
31	32	+	157
32	33	+	157
33	34	+	157
34	35	+	157
35	36	-	157
36	37	-	157
37	38	+	157
38	39	-	143
39	40	+	143
40	41	-	157
41	42	+	157
42	43	-	157
43	44	-	157
44	45	+	157
45	46	-	157
46	47	+	157
47	48	-	157
48	49	+	157
49	50	+	157
50	51	+	157
51	52	+	157
52	53	-	157
53	54	+	157
54	55	+	157
55	56	-	157
56	57	+	157
57	58	-	161
58	59	-	157
59	60	-	157
60	61	+	157
61	62	+	157
62	69	+	157
63	70	-	157
64	71	+	157
65	72	+	141
66	73	+	157
67	74	+	157
68	75	+	157
69	76	+	157
70	77	+	157
71	78	-	167
72	79	+	169
73	80	+	159
74	81	+	157
75	82	-	157
76	83	+	159
77	84	-	151
78	174	+	157
79	85	-	151
80	86	-	159
81	87	+	155
82	88	-	157
83	89	+	157
84	1049	+	5
85	90	-	157
86	91	+	157
87	92	-	157
88	93	-	157
89	94	-	157
90	95	-	151
91	96	-	157
92	97	-	139
93	98	-	139
94	99	+	157
95	100	-	157
96	101	+	157
97	102	-	157
98	103	-	157
99	104	+	157
100	105	-	157
101	107	-	157
102	108	-	157
103	109	+	157
104	110	-	157
105	111	+	167
106	112	-	167
107	113	-	167
108	114	+	167
109	115	+	157
110	116	-	157
111	117	+	159
112	118	+	157
113	119	-	157
114	120	+	157
115	121	-	157
116	122	+	157
117	124	+	157
118	125	+	157
119	126	-	157
120	127	-	157
121	128	-	157
122	129	+	157
123	130	-	159
124	131	+	159
125	132	-	157
126	133	-	157
127	134	-	157
128	135	-	157
129	136	-	157
130	137	+	157
131	138	-	157
132	139	+	157
133	140	-	157
134	141	+	157
135	142	+	157
136	143	-	157
137	144	+	157
138	145	-	157
139	146	-	157
140	147	+	161
141	148	+	157
142	149	+	157
143	150	+	153
144	151	-	157
145	152	-	157
146	1062	-	5
147	153	+	157
148	154	+	157
149	155	-	157
150	156	-	157
151	157	-	157
152	158	-	157
153	159	-	157
154	160	+	157
155	951	+	157
156	161	+	157
157	162	-	157
158	163	-	159
159	164	+	159
160	165	+	159
161	166	-	159
162	167	+	157
163	168	-	157
164	169	+	157
165	170	-	161
166	171	-	157
167	172	+	157
168	173	-	157
169	175	+	157
170	176	+	163
171	177	-	157
172	178	-	159
173	179	+	157
174	180	-	157
175	181	-	157
176	182	+	157
177	183	-	157
178	184	-	157
179	185	+	157
180	186	-	157
181	187	+	157
182	188	-	157
183	189	+	157
184	190	-	157
185	191	+	143
186	192	-	143
187	193	+	157
188	194	+	157
189	195	+	157
190	196	-	157
191	197	-	157
192	198	-	157
193	1057	-	5
194	199	-	159
195	200	+	157
196	201	+	157
197	202	-	157
198	203	-	157
199	204	+	157
200	205	-	157
201	206	-	157
202	207	+	157
203	208	+	157
204	209	-	157
205	210	+	157
206	211	-	157
207	212	-	157
208	213	+	157
209	214	-	157
210	603	+	157
211	604	-	157
212	605	-	157
213	215	+	157
214	216	-	157
215	217	-	157
216	218	+	159
217	219	+	157
218	1001	+	155
219	220	+	157
220	221	+	157
221	222	-	157
222	223	-	157
223	224	-	157
224	225	+	157
225	226	-	157
226	227	-	157
227	228	-	157
228	229	-	157
229	230	+	157
230	231	-	159
231	232	-	157
232	233	-	157
233	234	+	157
234	235	-	157
235	236	+	155
236	237	-	155
237	238	+	157
238	239	-	157
239	240	-	159
240	241	-	157
241	242	-	111
242	243	-	111
243	244	+	157
244	245	+	157
245	246	+	157
246	247	+	157
247	248	-	157
248	249	+	157
249	250	+	157
250	251	+	157
