TIME	EVENT	NODES
234.79714137959184	O	n102
253.10530453682208	S	n102;1;n133;2;n134;3
254.85733682858677	S	n134;3;n143;4;n144;5
265.2949822827486	I	n133;2
274.68520477779253	E	n143;4
276.551795131478	S	n144;5;n175;6;n176;7
285.76396366295205	E	n176;7
290.4363268478046	S	n133;2;n193;8;n194;9
293.87416262241237	S	n194;9;n201;10;n202;11
296.4430408222861	E	n175;6
297.20756264263844	S	n193;8;n209;12;n210;13
303.4377349768546	S	n209;12;n223;14;n224;15
303.7543128927015	I	n202;11
305.99025340734033	E	n202;11
306.2898950007751	T	n223;14;n223;16;n219;17
307.4979804455286	I	n201;10
307.88032930517045	S	n210;13;n229;18;n230;19
310.74626732789005	S	n224;15;n233;20;n234;21
312.06673550701987	S	n201;10;n235;22;n236;23
312.89392271064315	I	n233;20
319.05309034294646	I	n229;18
319.59538715878915	I	n234;21
321.78135305229097	E	n235;22
322.23550031039156	S	n219;17;n243;24;n244;25
322.5482268826998	I	n236;23
322.6630115581117	S	n233;20;n245;26;n246;27
323.35043751165773	I	n246;27
323.9491443297719	I	n245;26
325.9906360756411	I	n229;18
327.68708843484586	S	n223;16;n251;28;n252;29
328.08421134239114	I	n243;24
331.02825248126715	E	n236;23
334.9897297167016	S	n251;28;n257;30;n258;31
336.27194991669535	S	n243;24;n265;32;n266;33
337.10932653973396	S	n229;18;n267;34;n268;35
337.62768421771585	T	n267;34;n267;36;n183;37
337.9466629699342	E	n266;33
338.89935941368094	E	n245;26
341.11177427463167	S	n246;27;n275;38;n276;39
342.1368897672253	S	n267;36;n279;40;n280;41
344.02040770953147	S	n258;31;n283;42;n284;43
345.08649500709276	I	n230;19
346.5471506808192	S	n280;41;n285;44;n286;45
346.5990500281604	S	n283;42;n287;46;n288;47
347.3589689447561	S	n268;35;n289;48;n290;49
347.7552016053342	I	n279;40
348.7700363029201	S	n275;38;n291;50;n292;51
349.00530575206363	E	n183;37
350.6247674253394	S	n276;39;n295;52;n296;53
353.2274467652559	S	n284;43;n297;54;n298;55
354.6913132552896	L	n292;51
355.52743477898605	T	n298;55;n298;56;n277;57
355.8778505990836	S	n295;52;n301;58;n302;59
355.9316736534429	I	n290;49
357.1757291726746	S	n301;58;n305;60;n306;61
357.83898267386695	E	n265;32
358.6980084274748	I	n289;48
360.66748199542366	E	n306;61
361.063604680704	I	n305;60
362.14507068748986	S	n289;48;n311;62;n312;63
362.9097267934347	I	n298;56
362.9133388630703	C	n257;30
362.93877184850265	E	n279;40
363.7179365725955	E	n277;57
363.7394387385208	I	n312;63
364.0086300239402	S	n305;60;n315;64;n316;65
364.8824680743981	S	n302;59;n321;66;n322;67
366.28617395488055	I	n315;64
367.38182193948694	I	n230;19
368.33285918754166	F	n316;65
368.33285918754166	F	n230;19
368.33285918754166	F	n322;67
368.33285918754166	F	n291;50
368.33285918754166	F	n296;53
368.33285918754166	F	n287;46
368.33285918754166	F	n257;30
368.33285918754166	F	n288;47
368.33285918754166	F	n285;44
368.33285918754166	F	n286;45
368.33285918754166	F	n234;21
368.33285918754166	F	n312;63
368.33285918754166	F	n252;29
368.33285918754166	F	n244;25
368.33285918754166	F	n311;62
368.33285918754166	F	n321;66
368.33285918754166	F	n297;54
368.33285918754166	F	n290;49
368.33285918754166	F	n315;64
368.33285918754166	F	n298;56
