TIME	EVENT	NODES
0.03565811281626705	S	Root;n1;n2
0.05861878921004344	S	n2;n3;n4
0.07375809080458343	S	n4;n5;n6
0.07833050552031286	S	n5;n7;n8
0.1008035139693104	S	n3;n9;n10
0.11428202715204365	E	n1
0.1307468573352167	E	n8
0.16093066445356763	S	n6;n11;n12
0.16249863861729646	S	n10;n13;n14
0.1728772304451632	S	n13;n15;n16
0.18274527452700604	E	n11
0.1969107897114663	E	n9
0.20845796674833328	S	n7;n17;n18
0.2372402471114948	E	n15
0.23892462888085989	E	n18
0.2490407372631786	S	n17;n19;n20
0.2601117742688435	S	n16;n21;n22
0.2671518695686604	S	n14;n23;n24
0.2765985482048439	S	n20;n25;n26
0.27745213159000687	S	n24;n27;n28
0.27855792444951527	S	n25;n29;n30
0.2799238517383474	E	n23
0.29180342183819413	E	n29
0.2956178903787941	E	n22
0.2990284862777491	S	n21;n31;n32
0.32090036940607464	S	n12;n33;n34
0.3242431098178988	E	n26
0.3257514072895137	S	n30;n35;n36
0.3267467684448356	S	n36;n37;n38
0.32904946939963037	E	n28
0.3312970553039297	S	n27;n39;n40
0.3335651473273877	S	n38;n41;n42
0.34247326623149754	E	n41
0.3437941645540986	S	n19;n43;n44
0.35793305376362283	S	n42;n45;n46
0.36047053147741903	S	n31;n47;n48
0.3622216926957658	S	n32;n49;n50
0.36370417689028006	E	n44
0.3638875715740503	S	n35;n51;n52
0.3713640705493649	S	n50;n53;n54
0.37583130942817106	E	n54
0.38527024566626544	S	n40;n55;n56
0.38805050801579005	E	n34
0.3889779967809304	E	n53
0.39182157006149465	S	n52;n57;n58
0.39572310287152684	E	n56
0.3974594228905295	S	n57;n59;n60
0.39774118535546255	S	n58;n61;n62
0.398704406523994	S	n48;n63;n64
0.40140186928566196	E	n51
0.4066753845391696	E	n46
0.40776133334394826	E	n39
0.40850073276585896	S	n59;n65;n66
0.417342117675562	S	n43;n67;n68
0.42044751321046026	S	n63;n69;n70
0.4209965192467931	S	n61;n71;n72
0.42795023912694147	E	n66
0.42854301057533273	S	n33;n73;n74
0.42981952959854897	S	n47;n75;n76
0.43048184675792817	E	n45
0.43808968036900625	E	n75
0.4423483705727157	S	n60;n77;n78
0.4457139964449435	E	n70
0.4487358723077373	E	n71
0.4503380560040635	S	n64;n79;n80
0.4614636471342297	S	n55;n81;n82
0.4643255835110095	E	n72
0.477908856756897	E	n78
0.47893748989308055	E	n62
0.48126743638362973	S	n76;n83;n84
0.49158736343140175	E	n69
0.4927173369477565	E	n77
0.4956791982998115	E	n74
0.5093929148877467	S	n65;n85;n86
0.5261657820178198	E	n86
0.5322172744577628	E	n84
0.542667120051626	S	n49;n87;n88
0.5449769855939937	S	n79;n89;n90
0.5509952243951802	S	n37;n91;n92
0.5513937295836269	S	n81;n93;n94
0.5554720027437821	S	n80;n95;n96
0.5572075351753035	S	n93;n97;n98
0.5605956152818038	E	n90
0.5745225296406941	S	n94;n99;n100
0.5756195185127128	E	n85
0.5822161925010496	S	n68;n101;n102
0.5949161755404646	E	n102
0.5951117521699512	E	n101
0.5979031078146738	E	n87
0.5986568889414171	E	n100
0.6005762215934414	S	n89;n103;n104
0.6037059867541918	S	n83;n105;n106
0.6049905299992304	E	n82
0.6114935212990017	S	n88;n107;n108
0.6139341316645054	S	n106;n109;n110
0.6196047560348688	S	n107;n111;n112
0.6243127237094809	E	n111
0.6248682797632655	S	n91;n113;n114
0.6297818420944018	E	n96
0.6311903666688485	S	n109;n115;n116
0.6393332301333164	S	n112;n117;n118
0.6413451922296899	S	n114;n119;n120
0.6441183349089813	S	n116;n121;n122
0.6446354988810583	E	n110
0.6575623711300396	E	n73
0.6607268257837244	S	n67;n123;n124
0.6618475588700907	S	n122;n125;n126
0.6633287276540377	E	n99
0.6685627179118959	E	n121
0.6696366104238207	E	n104
0.6714208973395133	S	n92;n127;n128
0.6719135649492606	S	n118;n129;n130
0.6753098391469464	E	n115
0.6771299317762048	S	n126;n131;n132
0.6771480527232184	E	n127
0.6819512551468225	S	n129;n133;n134
0.6921120488034279	E	n108
0.6941596368553979	E	n131
0.6953243955279519	S	n119;n135;n136
0.6975577051315929	S	n113;n137;n138
0.7005084646083697	S	n136;n139;n140
0.701079093030748	E	n98
0.7017922083742045	E	n134
0.7040101740554711	S	n130;n141;n142
0.7099753554541903	E	n135
0.7109290296217277	E	n105
0.7134501403145042	S	n141;n143;n144
0.7201554690914358	E	n142
0.7210277529225892	E	n128
0.7215838219978351	S	n139;n145;n146
0.7217302559461122	S	n97;n147;n148
0.7226331056963025	E	n140
0.7247629626005688	S	n103;n149;n150
0.7268485611847301	S	n137;n151;n152
0.7271137001153057	E	n138
0.7276046550877852	S	n149;n153;n154
0.7354109711678566	S	n124;n155;n156
0.7359094885998367	E	n154
0.7366507449525306	S	n117;n157;n158
0.7380126736617868	S	n133;n159;n160
0.7402941034005236	S	n125;n161;n162
0.743681333697219	E	n146
0.7452002798513975	S	n147;n163;n164
0.7481394058852846	S	n132;n165;n166
0.7500329224096391	E	n150
0.7579531713527351	E	n165
0.7597303949778592	S	n160;n167;n168
0.7606143639893209	E	n162
0.7634135835267006	S	n123;n169;n170
0.7661198686804508	S	n148;n171;n172
0.766363326772698	S	n164;n173;n174
0.7701002230515659	E	n169
0.7701743730769628	S	n120;n175;n176
0.7721466484093822	E	n170
0.7722887411826787	S	n175;n177;n178
0.7745798703701913	E	n176
0.7747297051771199	S	n161;n179;n180
0.7767487400746069	S	n179;n181;n182
0.7774381661020539	E	n172
0.7803804726594089	E	n144
0.7807184706049322	S	n180;n183;n184
0.780863663817749	S	n159;n185;n186
0.7809494896465746	S	n183;n187;n188
0.7852010613257442	E	n188
0.7869910465073588	E	n152
0.7889668809496501	S	n151;n189;n190
0.7898780576720417	S	n155;n191;n192
0.7899707700882584	E	n143
0.7901507037646461	E	n184
0.7938852446541661	S	n174;n193;n194
0.7978498612135019	E	n182
0.7978528084143132	S	n156;n195;n196
0.7987916706716873	E	n191
0.7992174565172605	S	n187;n197;n198
0.7993411900108544	S	n157;n199;n200
0.802766193558471	S	n153;n201;n202
0.8031860314936324	S	n199;n203;n204
0.8090622353839811	S	n171;n205;n206
0.8117998219882726	E	n203
0.813552145786412	E	n204
0.8152598931994061	S	n95;n207;n208
0.8164044470765601	E	n167
0.8168185596786944	S	n189;n209;n210
0.8178933550565883	E	n192
0.8261291493880141	E	n163
0.8276784496388486	S	n198;n211;n212
0.8318994907069088	S	n210;n213;n214
0.833616160872077	E	n208
0.8348346185515035	E	n178
0.8352544388705551	S	n202;n215;n216
0.8368111068320828	S	n196;n217;n218
0.8409256797631153	E	n216
0.8432642881862309	E	n214
0.8460015102603748	S	n201;n219;n220
0.8462038436727194	E	n177
0.8483051838783444	E	n194
0.8497501771795928	E	n207
0.8503085550548898	S	n197;n221;n222
0.8516895988276718	E	n205
0.8517224027933125	S	n195;n223;n224
0.854307315944115	E	n215
0.8562890836890564	S	n193;n225;n226
0.8595667981202416	E	n173
0.8601577711503859	S	n212;n227;n228
0.8613693014894844	E	n181
0.8734902166513967	E	n213
0.8742918575836303	E	n190
0.8744851348059081	E	n225
0.8813881991268552	E	n145
0.8814887852476869	S	n218;n229;n230
0.8825998228348834	S	n219;n231;n232
0.8843366822854161	E	n229
0.8874499684285017	S	n217;n233;n234
0.8875444986049862	S	n186;n235;n236
0.8886476591442899	S	n206;n237;n238
0.8903456152832875	E	n224
0.8931383056426142	E	n237
0.8958770819902527	S	n234;n239;n240
0.8966350187226857	S	n185;n241;n242
0.8974496054601573	E	n227
0.8980060272048759	S	n209;n243;n244
0.9049608857101237	S	n166;n245;n246
0.905185808726317	E	n235
0.9106338950899321	S	n246;n247;n248
0.9114950528903518	E	n222
0.915456583677902	S	n226;n249;n250
0.9163002425948975	E	n238
0.9171440668508187	S	n240;n251;n252
0.918709877259294	E	n233
0.921954449245773	S	n231;n253;n254
0.9255988467268518	S	n239;n255;n256
0.9262180312867804	E	n232
0.9267653394165998	S	n241;n257;n258
0.927312365914823	E	n243
0.9275903159912018	E	n249
0.9280137218581821	E	n211
0.9292507846091586	S	n221;n259;n260
0.9308574068795644	E	n256
0.9331189763794548	S	n253;n261;n262
0.9334468700033874	E	n158
0.93500510079701	E	n259
0.9364731069415062	E	n248
0.9382537776095115	S	n254;n263;n264
0.9437743069310279	E	n168
0.9453738548637767	E	n263
0.9460617632927703	S	n260;n265;n266
0.94826054007743	E	n230
0.9486013636009557	S	n261;n267;n268
0.951000190955658	S	n257;n269;n270
0.9557905494076593	S	n242;n271;n272
0.9598159582018603	S	n220;n273;n274
0.9609231641360226	S	n272;n275;n276
0.9621233290640864	S	n262;n277;n278
0.9689023525530531	S	n273;n279;n280
0.9711027875363744	E	n252
